# time (hhmmss),heat->kettle,kettle->air,kettle->boil,condenser->air,alc->condenser,alc->output,H2O->condenser,H2O output
000413,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000414,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000415,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000416,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000417,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000418,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000419,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000420,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000421,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000422,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000423,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000424,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000425,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000426,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000427,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000428,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000429,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000430,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000431,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000432,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000433,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000434,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000435,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000436,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
000437,3000.000000,877.327515,2120.405518,235.532791,96131.437500,25701.724609,41802.070312,13607.111328
